#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
          13      2.356568e+01      2.470220e+01      2.857134e-01
          14      2.323921e+01      2.459770e+01      2.837727e-01
          15      2.548507e+01      2.465686e+01      2.709507e-01
          16      2.368282e+01      2.459598e+01      2.607656e-01
          17      2.591416e+01      2.467352e+01      2.566962e-01
          18      2.877920e+01      2.490161e+01      3.284982e-01
          19      2.659997e+01      2.499100e+01      3.231416e-01
          20      2.447469e+01      2.496518e+01      3.080140e-01
           1      8.283348e+01      8.283348e+01      0.000000e+00
           2      7.488533e+01      7.885940e+01      2.810096e+00
           3      7.876297e+01      7.882726e+01      1.873581e+00
           4      7.945383e+01      7.898390e+01      1.411719e+00
           5      7.401153e+01      7.798943e+01      1.437593e+00
           6      7.871761e+01      7.811079e+01      1.203106e+00
           7      8.336485e+01      7.886137e+01      1.243516e+00
           8      7.828950e+01      7.878989e+01      1.090129e+00
           9      7.794838e+01      7.869639e+01      9.730048e-01
          10      6.858814e+01      7.768556e+01      1.298633e+00
          11      8.167450e+01      7.804819e+01      1.230164e+00
          12      6.999966e+01      7.737748e+01      1.297676e+00
          13      7.774001e+01      7.740537e+01      1.198154e+00
          14      7.837034e+01      7.747429e+01      1.114552e+00
          15      8.097706e+01      7.770781e+01      1.064431e+00
          16      7.980137e+01      7.783866e+01      1.005914e+00
          17      8.171826e+01      7.806687e+01      9.722853e-01
          18      8.297089e+01      7.833932e+01      9.556786e-01
          19      7.746848e+01      7.829348e+01      9.064781e-01
          20      7.701414e+01      7.822952e+01      8.634083e-01
