#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
          12     -8.034840e-01     -8.053970e-01      4.406397e-04
          13     -8.021280e-01     -8.051455e-01      4.730854e-04
          14     -8.074960e-01     -8.053134e-01      4.681374e-04
          15     -8.050080e-01     -8.052931e-01      4.373708e-04
          16     -8.053960e-01     -8.052995e-01      4.100824e-04
          17     -8.058160e-01     -8.053299e-01      3.870838e-04
          18     -8.028080e-01     -8.051898e-01      3.901114e-04
          19     -8.042200e-01     -8.051387e-01      3.729033e-04
          20     -8.039960e-01     -8.050816e-01      3.586087e-04
           1     -8.923960e-01     -8.923960e-01      0.000000e+00
           2     -8.910920e-01     -8.917440e-01      4.610336e-04
           3     -8.941800e-01     -8.925560e-01      7.307737e-04
           4     -8.903280e-01     -8.919990e-01      7.301224e-04
           5     -8.912040e-01     -8.918400e-01      6.011615e-04
           6     -8.916320e-01     -8.918053e-01      5.019665e-04
           7     -8.965480e-01     -8.924829e-01      7.606462e-04
           8     -8.928040e-01     -8.925230e-01      6.666239e-04
           9     -8.934320e-01     -8.926240e-01      6.001570e-04
          10     -8.923800e-01     -8.925996e-01      5.406371e-04
          11     -8.903520e-01     -8.923953e-01      5.286917e-04
          12     -8.917280e-01     -8.923397e-01      4.875495e-04
          13     -8.885720e-01     -8.920498e-01      5.292219e-04
          14     -8.896600e-01     -8.918791e-01      5.182202e-04
          15     -8.941560e-01     -8.920309e-01      5.054138e-04
          16     -8.908440e-01     -8.919568e-01      4.792387e-04
          17     -8.920440e-01     -8.919619e-01      4.510757e-04
          18     -8.952120e-01     -8.921424e-01      4.607396e-04
          19     -8.917800e-01     -8.921234e-01      4.368849e-04
          20     -8.891040e-01     -8.919724e-01      4.403528e-04
           1     -9.783080e-01     -9.783080e-01      0.000000e+00
           2     -9.701080e-01     -9.742080e-01      2.899138e-03
           3     -9.734440e-01     -9.739533e-01      1.943912e-03
           4     -9.749200e-01     -9.741950e-01      1.472879e-03
           5     -9.687480e-01     -9.731056e-01      1.528997e-03
           6     -9.737280e-01     -9.732093e-01      1.277678e-03
           7     -9.790720e-01     -9.740469e-01      1.341864e-03
           8     -9.732080e-01     -9.739420e-01      1.178221e-03
           9     -9.739280e-01     -9.739404e-01      1.047308e-03
          10     -9.630080e-01     -9.728472e-01      1.401470e-03
          11     -9.762720e-01     -9.731585e-01      1.308190e-03
          12     -9.656080e-01     -9.725293e-01      1.341989e-03
          13     -9.721800e-01     -9.725025e-01      1.239028e-03
          14     -9.740720e-01     -9.726146e-01      1.155587e-03
          15     -9.770440e-01     -9.729099e-01      1.115639e-03
          16     -9.738880e-01     -9.729710e-01      1.047586e-03
          17     -9.769480e-01     -9.732049e-01      1.011747e-03
          18     -9.784920e-01     -9.734987e-01      9.972643e-04
          19     -9.720200e-01     -9.734208e-01      9.478085e-04
          20     -9.715040e-01     -9.733250e-01      9.052509e-04
