#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         230    -3.36145    -3.37492  0.00197214
         231    -3.36348    -3.37487  0.00196423
         232      -3.366    -3.37484  0.00195613
         233    -3.36914    -3.37481  0.00194789
         234    -3.37352    -3.37481  0.00193957
         235    -3.38035    -3.37483  0.00193146
         236    -3.38791    -3.37489  0.00192408
         237    -3.39375    -3.37496   0.0019176
         238    -3.39484    -3.37505  0.00191136
         239    -3.39162    -3.37512  0.00190462
         240    -3.38599    -3.37516  0.00189723
         241    -3.37913    -3.37518  0.00188942
         242     -3.3752    -3.37518  0.00188162
         243     -3.3725    -3.37517  0.00187391
         244     -3.3718    -3.37515  0.00186628
         245    -3.37379    -3.37515  0.00185867
         246    -3.37711    -3.37516  0.00185113
         247    -3.37994    -3.37518  0.00184374
         248    -3.38341    -3.37521   0.0018366
         249    -3.38568    -3.37525  0.00182971
         250    -3.38574    -3.37529  0.00182287
         251    -3.38439    -3.37533  0.00181597
         252    -3.38183    -3.37536  0.00180894
         253    -3.37681    -3.37536   0.0018018
         254    -3.37319    -3.37535  0.00179473
         255    -3.36845    -3.37533  0.00178789
         256    -3.36606    -3.37529  0.00178128
         257    -3.36406    -3.37525  0.00177488
         258    -3.36576    -3.37521  0.00176838
         259    -3.37171     -3.3752  0.00176161
         260    -3.37721     -3.3752  0.00175485
         261    -3.38506    -3.37524  0.00174853
         262    -3.39268    -3.37531  0.00174312
         263    -3.39672    -3.37539   0.0017384
         264    -3.39783    -3.37547  0.00173389
         265    -3.39628    -3.37555  0.00172912
         266    -3.39279    -3.37562  0.00172384
         267    -3.38795    -3.37566    0.001718
         268    -3.38549     -3.3757  0.00171198
         269     -3.3852    -3.37574  0.00170598
         270    -3.38707    -3.37578  0.00170018
         271    -3.39023    -3.37583  0.00169474
         272    -3.39276    -3.37589  0.00168965
         273    -3.39589    -3.37597  0.00168505
         274    -3.39854    -3.37605  0.00168091
         275    -3.39959    -3.37613  0.00167698
         276     -3.4015    -3.37623  0.00167342
         277    -3.40186    -3.37632  0.00166993
         278    -3.40103    -3.37641  0.00166629
         279    -3.39719    -3.37648  0.00166198
         280    -3.39166    -3.37654  0.00165693
         281    -3.38287    -3.37656  0.00165119
         282    -3.37439    -3.37655  0.00164535
         283    -3.36455    -3.37651  0.00164008
         284      -3.356    -3.37644  0.00163589
         285    -3.34864    -3.37634  0.00163306
         286    -3.34406    -3.37623  0.00163124
         287    -3.34604    -3.37612  0.00162895
         288    -3.35049    -3.37603  0.00162572
         289    -3.35835    -3.37597  0.00162125
         290    -3.36594    -3.37594  0.00161602
         291    -3.37511    -3.37593  0.00161047
         292    -3.38391    -3.37596  0.00160519
         293    -3.39395    -3.37602  0.00160089
         294    -3.40249    -3.37611  0.00159797
         295    -3.40847    -3.37622  0.00159631
         296    -3.41198    -3.37634  0.00159549
         297    -3.40983    -3.37646  0.00159409
         298    -3.40585    -3.37655  0.00159179
         299    -3.39869    -3.37663  0.00158819
         300    -3.38991    -3.37667  0.00158351
         301    -3.38333    -3.37669  0.00157841
         302    -3.37864     -3.3767  0.00157319
         303    -3.37487    -3.37669  0.00156801
         304    -3.37296    -3.37668   0.0015629
         305    -3.37289    -3.37667  0.00155783
         306    -3.37192    -3.37665  0.00155281
         307    -3.37175    -3.37664  0.00154784
         308    -3.37422    -3.37663  0.00154283
         309    -3.37658    -3.37663  0.00153784
         310    -3.38061    -3.37664  0.00153293
         311    -3.38254    -3.37666  0.00152812
         312    -3.38359    -3.37668  0.00152338
         313     -3.3826     -3.3767  0.00151863
         314    -3.37954    -3.37671  0.00151382
         315    -3.37573    -3.37671  0.00150902
         316    -3.37236     -3.3767  0.00150431
         317    -3.37011    -3.37667  0.00149971
         318    -3.37111    -3.37666  0.00149509
         319    -3.37445    -3.37665  0.00149042
         320    -3.37918    -3.37666  0.00148579
         321    -3.38255    -3.37668  0.00148127
         322    -3.38259     -3.3767  0.00147678
         323    -3.37838     -3.3767  0.00147222
         324    -3.37469    -3.37669  0.00146769
         325    -3.37173    -3.37668  0.00146325
         326    -3.36965    -3.37666  0.00145892
         327    -3.36878    -3.37663  0.00145466
         328    -3.36991    -3.37661  0.00145037
         329    -3.36943    -3.37659  0.00144613
         330    -3.37047    -3.37657  0.00144186
         331     -3.3714    -3.37656  0.00143759
         332    -3.37067    -3.37654  0.00143337
         333    -3.37047    -3.37652  0.00142918
         334     -3.3661    -3.37649  0.00142524
         335     -3.3627    -3.37645  0.00142158
         336    -3.36193    -3.37641  0.00141801
         337    -3.36206    -3.37636  0.00141444
         338    -3.36518    -3.37633  0.00141064
         339    -3.37229    -3.37632  0.00140653
         340    -3.38103    -3.37633  0.00140246
         341     -3.3901    -3.37637  0.00139893
         342    -3.39721    -3.37643  0.00139617
         343    -3.40192    -3.37651  0.00139407
         344    -3.40225    -3.37658  0.00139203
         345     -3.4008    -3.37665  0.00138976
         346    -3.39613    -3.37671  0.00138689
         347    -3.39123    -3.37675  0.00138352
         348    -3.38948    -3.37679  0.00138003
         349    -3.38799    -3.37682  0.00137645
         350    -3.38865    -3.37685  0.00137293
         351    -3.38988    -3.37689  0.00136952
         352    -3.38806    -3.37692    0.001366
         353    -3.38495    -3.37694  0.00136232
         354     -3.3825    -3.37696  0.00135856
         355    -3.37793    -3.37696  0.00135473
         356    -3.37382    -3.37695  0.00135096
         357    -3.37024    -3.37694   0.0013473
         358    -3.36957    -3.37691   0.0013437
         359    -3.36872    -3.37689  0.00134015
         360    -3.37088    -3.37687  0.00133653
         361    -3.37465    -3.37687  0.00133284
         362    -3.38035    -3.37688   0.0013292
         363    -3.38465     -3.3769  0.00132571
         364    -3.39069    -3.37694  0.00132261
         365    -3.39229    -3.37698  0.00131965
         366    -3.39272    -3.37702  0.00131675
         367    -3.39073    -3.37706  0.00131369
         368    -3.38716    -3.37709   0.0013104
         369    -3.38154     -3.3771  0.00130691
         370     -3.3783     -3.3771  0.00130338
         371    -3.37676     -3.3771  0.00129987
         372    -3.37638     -3.3771  0.00129637
         373    -3.37588     -3.3771   0.0012929
         374    -3.37717     -3.3771  0.00128945
         375     -3.3778     -3.3771  0.00128601
         376    -3.37961    -3.37711  0.00128261
         377    -3.38009    -3.37711  0.00127923
         378    -3.37804    -3.37712  0.00127585
         379    -3.37415    -3.37711   0.0012725
         380    -3.36997    -3.37709  0.00126929
         381    -3.36629    -3.37706  0.00126628
         382    -3.36433    -3.37703   0.0012634
         383    -3.36384    -3.37699  0.00126057
         384    -3.36446    -3.37696  0.00125771
         385     -3.3653    -3.37693  0.00125481
         386    -3.36679     -3.3769  0.00125183
         387    -3.36731    -3.37688  0.00124885
         388    -3.36899    -3.37686  0.00124579
         389    -3.37171    -3.37685  0.00124266
         390    -3.37893    -3.37685  0.00123949
         391    -3.38863    -3.37688  0.00123668
         392     -3.4001    -3.37694  0.00123494
         393     -3.4072    -3.37702   0.0012342
         394    -3.41012     -3.3771  0.00123392
         395    -3.40733    -3.37718  0.00123317
