#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         308     1.71238      1.8005   0.0637778
         309     1.72749     1.80026   0.0635718
         310     1.73218     1.80004   0.0633672
         311     1.73267     1.79982   0.0631638
         312     1.73025      1.7996   0.0629617
         313      1.7324     1.79939   0.0627609
         314      1.7453     1.79921   0.0625613
         315     1.77094     1.79912   0.0623627
         316     1.80753     1.79915   0.0621654
         317     1.84945     1.79931   0.0619695
         318     1.88515     1.79958   0.0617752
         319     1.90756     1.79992   0.0615825
         320     1.91388     1.80027   0.0613911
         321     1.91183     1.80062   0.0612008
         322     1.91405     1.80097   0.0610118
         323     1.93218     1.80138   0.0608242
         324     1.96375     1.80188   0.0606386
         325     2.00689     1.80251   0.0604553
         326      2.0562     1.80329   0.0602748
         327     2.10659     1.80422   0.0600976
         328     2.15472     1.80529   0.0599239
         329     2.20534      1.8065   0.0597541
         330      2.2519     1.80785   0.0595883
         331     2.29536     1.80933   0.0594264
         332     2.33878     1.81092   0.0592688
         333     2.38219     1.81264   0.0591157
         334     2.43732     1.81451   0.0589683
         335     2.49774     1.81655   0.0588275
         336     2.55795     1.81875   0.0586938
         337     2.61365     1.82111    0.058567
         338     2.65218     1.82357   0.0584453
         339     2.66293     1.82605   0.0583253
         340     2.64322     1.82845   0.0582033
         341      2.5933     1.83069   0.0580758
         342     2.52051     1.83271    0.057941
         343     2.43419     1.83446   0.0577986
         344     2.34876     1.83596   0.0576499
         345     2.27069     1.83722   0.0574966
         346     2.20922     1.83829   0.0573405
         347     2.16128     1.83922   0.0571828
         348     2.11848     1.84003   0.0570241
         349     2.08024     1.84071   0.0568648
         350     2.03939     1.84128   0.0567052
         351     1.99774     1.84173   0.0565454
         352     1.96399     1.84207   0.0563858
         353     1.94044     1.84235   0.0562268
         354     1.92884      1.8426   0.0560685
         355     1.93633     1.84286   0.0559112
         356     1.95861     1.84319   0.0557551
         357     1.99255     1.84361   0.0556005
         358     2.02923     1.84412   0.0554476
         359     2.06737     1.84475   0.0552966
         360     2.09573     1.84544   0.0551474
         361     2.11131     1.84618   0.0549995
         362     2.10981     1.84691   0.0548524
         363     2.09501     1.84759   0.0547056
         364     2.06355     1.84818   0.0545585
         365      2.0303     1.84868   0.0544113
         366     1.99742     1.84909   0.0542642
         367     1.97471     1.84943   0.0541174
         368     1.96656     1.84975   0.0539713
         369     1.97581     1.85009   0.0538261
         370     1.99349     1.85048    0.053682
         371     2.01608     1.85093   0.0535392
         372     2.03924     1.85143   0.0533976
         373     2.06113     1.85199   0.0532574
         374     2.07664     1.85259   0.0531184
         375     2.08936     1.85323   0.0529805
         376     2.09745     1.85388   0.0528436
         377     2.10767     1.85455   0.0527077
         378     2.12659     1.85527   0.0525732
         379     2.15831     1.85607   0.0524406
         380      2.2036     1.85698   0.0523105
         381     2.26049     1.85804    0.052184
         382     2.32298     1.85926   0.0520615
         383     2.38653     1.86064   0.0519438
         384     2.44769     1.86216    0.051831
         385     2.50506     1.86383   0.0517233
         386     2.55615     1.86563   0.0516204
         387     2.60243     1.86753   0.0515221
         388     2.63899     1.86952   0.0514277
         389     2.66189     1.87156   0.0513358
         390     2.65757     1.87357   0.0512437
         391     2.61964     1.87548   0.0511482
         392      2.5439     1.87719   0.0510461
         393     2.44466     1.87863   0.0509366
         394     2.33614     1.87979   0.0508206
         395     2.23971      1.8807   0.0507001
         396      2.1699     1.88143   0.0505773
         397     2.13173     1.88206   0.0504538
         398     2.12264     1.88267   0.0503307
         399     2.13444      1.8833   0.0502085
         400     2.15601     1.88398   0.0500876
         401     2.18119     1.88472   0.0499682
         402      2.1939     1.88549   0.0498498
         403     2.18299     1.88623   0.0497316
         404     2.13735     1.88685   0.0496124
         405     2.04793     1.88725   0.0494915
         406      1.9157     1.88732   0.0493696
         407     1.76067     1.88701   0.0492493
         408     1.61366     1.88634   0.0491331
         409     1.49988     1.88539   0.0490221
         410     1.42788     1.88428   0.0489152
         411     1.39495     1.88309   0.0488107
         412      1.3961      1.8819   0.0487065
         413     1.41911     1.88078   0.0486015
         414      1.4555     1.87976   0.0484949
         415     1.50101     1.87884   0.0483867
         416     1.54863     1.87805   0.0482769
         417     1.59526     1.87737   0.0481659
         418     1.63836      1.8768    0.048054
         419     1.67644     1.87632   0.0479417
         420     1.70529     1.87591   0.0478293
         421     1.72154     1.87555   0.0477171
         422     1.72647     1.87519   0.0476053
         423     1.72272     1.87483   0.0474942
         424      1.7193     1.87447   0.0473836
         425     1.71441     1.87409   0.0472736
         426     1.71218     1.87371   0.0471641
         427     1.70952     1.87333   0.0470552
         428     1.71249     1.87295   0.0469468
         429     1.72312      1.8726   0.0468387
         430     1.74402      1.8723   0.0467307
         431      1.7704     1.87207   0.0466229
         432     1.79621     1.87189   0.0465153
         433     1.81537     1.87176    0.046408
         434     1.82164     1.87164   0.0463012
         435      1.8129     1.87151    0.046195
         436     1.79447     1.87133   0.0460894
         437     1.77462     1.87111   0.0459844
         438     1.76402     1.87087   0.0458801
         439      1.7638     1.87062   0.0457762
         440     1.77295      1.8704   0.0456728
         441     1.78713     1.87021   0.0455696
         442     1.79311     1.87004   0.0454668
         443     1.78758     1.86985   0.0453646
         444      1.7664     1.86962    0.045263
         445     1.72984      1.8693   0.0451624
         446     1.68896      1.8689   0.0450629
         447     1.64405      1.8684   0.0449649
         448     1.60637     1.86781   0.0448683
         449      1.5866     1.86719   0.0447728
         450     1.59133     1.86657   0.0446775
         451     1.62493     1.86604   0.0445816
         452     1.68967     1.86565   0.0444847
         453     1.78567     1.86547   0.0443869
         454      1.9082     1.86556   0.0442892
         455     2.04841     1.86597   0.0441937
         456     2.18926     1.86667   0.0441024
         457     2.31675     1.86766   0.0440169
         458     2.41764     1.86886   0.0439372
         459     2.48937     1.87021   0.0438623
         460      2.5356     1.87166   0.0437908
         461     2.56345     1.87316   0.0437215
         462     2.57417     1.87468   0.0436532
         463     2.56581     1.87617   0.0435844
         464     2.53529     1.87759   0.0435136
         465     2.48657      1.8789   0.0434397
         466     2.42472     1.88007   0.0433623
         467     2.35871      1.8811   0.0432816
         468     2.30217       1.882   0.0431984
         469     2.26208     1.88281   0.0431139
         470     2.24427     1.88357    0.043029
         471      2.2513     1.88436   0.0429448
         472     2.27919     1.88519   0.0428619
         473     2.32109     1.88611   0.0427812
         474     2.35852     1.88711   0.0427026
         475     2.37782     1.88814   0.0426252
         476     2.36053     1.88914   0.0425472
         477     2.29371     1.88998   0.0424664
         478     2.17788     1.89059   0.0423819
         479     2.03413     1.89089   0.0422944
         480     1.88295     1.89087   0.0422063
         481     1.75227     1.89058   0.0421196
         482     1.65563     1.89009    0.042035
         483     1.60265      1.8895   0.0419522
         484     1.58849     1.88888   0.0418701
         485     1.61045      1.8883   0.0417877
         486     1.65641     1.88783   0.0417045
         487     1.71427     1.88747   0.0416203
         488      1.7764     1.88724   0.0415357
         489     1.83344     1.88713   0.0414509
         490     1.87918     1.88712   0.0413663
         491     1.90746     1.88716   0.0412821
         492     1.91877     1.88722   0.0411982
         493     1.91459     1.88728   0.0411147
         494     1.90781     1.88732   0.0410315
         495     1.90692     1.88736   0.0409486
         496      1.9165     1.88742   0.0408661
