#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         308     1.70465     1.70866   0.0138105
         309     1.69776     1.70862   0.0137659
         310     1.69341     1.70858   0.0137215
         311     1.69218     1.70852   0.0136775
         312     1.69369     1.70848   0.0136338
         313     1.69658     1.70844   0.0135903
         314      1.6988     1.70841    0.013547
         315     1.69835     1.70837   0.0135041
         316     1.69412     1.70833   0.0134614
         317      1.6865     1.70826   0.0134191
         318     1.67743     1.70816   0.0133773
         319     1.66984     1.70804   0.0133359
         320     1.66641     1.70791   0.0132948
         321     1.66786     1.70779    0.013254
         322     1.67225     1.70768   0.0132133
         323     1.67601     1.70758   0.0131727
         324     1.67611     1.70748   0.0131324
         325     1.67169     1.70737   0.0130925
         326     1.66401     1.70724    0.013053
         327     1.65491     1.70708   0.0130141
         328     1.64554     1.70689   0.0129758
         329     1.63608     1.70668   0.0129381
         330     1.62665     1.70643   0.0129012
         331     1.61768     1.70617    0.012865
         332     1.60945     1.70588   0.0128295
         333     1.60127     1.70556   0.0127948
         334     1.59156     1.70522   0.0127611
         335     1.57881     1.70484   0.0127286
         336     1.56273     1.70442   0.0126977
         337     1.54467     1.70395   0.0126689
         338     1.52723     1.70342   0.0126422
         339     1.51354     1.70286   0.0126173
         340     1.50647     1.70228   0.0125934
         341     1.50785     1.70171   0.0125694
         342     1.51789     1.70118   0.0125441
         343     1.53499     1.70069   0.0125169
         344     1.55613     1.70027   0.0124875
         345     1.57771     1.69992   0.0124564
         346     1.59669     1.69962    0.012424
         347      1.6115     1.69936   0.0123908
         348     1.62229     1.69914   0.0123571
         349     1.63059     1.69895   0.0123233
         350     1.63825     1.69877   0.0122893
         351     1.64642     1.69862   0.0122552
         352     1.65498      1.6985    0.012221
         353     1.66266      1.6984   0.0121868
         354     1.66773     1.69831   0.0121527
         355      1.6688     1.69823   0.0121187
         356     1.66531     1.69814   0.0120851
         357     1.65763     1.69802   0.0120517
         358     1.64693     1.69788   0.0120189
         359     1.63491      1.6977   0.0119867
         360     1.62352      1.6975   0.0119552
         361     1.61452     1.69727   0.0119243
         362     1.60936     1.69703   0.0118938
         363     1.60901     1.69678   0.0118635
         364     1.61367     1.69656   0.0118331
         365     1.62244     1.69635   0.0118025
         366      1.6334     1.69618   0.0117715
         367     1.64405     1.69604   0.0117402
         368       1.652     1.69592   0.0117089
         369     1.65577     1.69581   0.0116777
         370     1.65521      1.6957   0.0116467
         371     1.65136     1.69558   0.0116159
         372     1.64591     1.69545   0.0115854
         373     1.64046      1.6953   0.0115553
         374     1.63602     1.69514   0.0115255
         375       1.633     1.69498    0.011496
         376     1.63131     1.69481   0.0114666
         377     1.63043     1.69464   0.0114375
         378      1.6293     1.69446   0.0114085
         379     1.62628     1.69428   0.0113799
         380     1.61976     1.69409   0.0113516
         381     1.60909     1.69386    0.011324
         382       1.595      1.6936   0.0112973
         383     1.57904     1.69331   0.0112718
         384     1.56265     1.69297   0.0112476
         385     1.54676     1.69259   0.0112247
         386     1.53189     1.69217   0.0112034
         387     1.51818     1.69172   0.0111835
         388     1.50559     1.69124   0.0111649
         389     1.49447     1.69073   0.0111477
         390     1.48642     1.69021   0.0111314
         391     1.48448     1.68968   0.0111153
         392      1.4919     1.68918   0.0110984
         393     1.50988     1.68872   0.0110796
         394     1.53596     1.68834   0.0110582
         395     1.56473     1.68802   0.0110347
         396     1.59015     1.68778   0.0110096
         397     1.60773     1.68757   0.0109837
         398      1.6156     1.68739   0.0109576
         399     1.61433     1.68721   0.0109316
         400     1.60618     1.68701   0.0109062
         401     1.59418     1.68678   0.0108814
         402     1.58158     1.68651   0.0108575
         403     1.57172     1.68623   0.0108343
         404     1.56828     1.68594   0.0108114
         405      1.5753     1.68566   0.0107882
         406     1.59605     1.68544   0.0107639
         407     1.63039     1.68531   0.0107383
         408     1.67275     1.68528    0.010712
