#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         480    -5.04205    -5.05879  0.00891304
         481    -5.07905    -5.05883  0.00889461
         482    -5.10657    -5.05893  0.00887671
         483    -5.12048    -5.05906  0.00885925
         484    -5.12335    -5.05919  0.00884194
         485    -5.11463    -5.05931  0.00882445
         486    -5.09865    -5.05939  0.00880666
         487    -5.07962    -5.05943  0.00878868
         488    -5.05925    -5.05943  0.00877067
         489    -5.04078    -5.05939  0.00875281
         490    -5.02586    -5.05932  0.00873522
         491    -5.01683    -5.05923  0.00871786
         492    -5.01321    -5.05914  0.00870064
         493    -5.01582    -5.05905  0.00868343
         494    -5.01979    -5.05897  0.00866622
         495    -5.02297     -5.0589  0.00864902
         496    -5.02413    -5.05883  0.00863186
         497    -5.02321    -5.05876  0.00861479
         498    -5.01921    -5.05868  0.00859786
         499    -5.01508    -5.05859  0.00858107
         500    -5.01133     -5.0585  0.00856443
         501    -5.00644    -5.05839  0.00854797
         502     -4.9996    -5.05828  0.00853174
         503     -4.9881    -5.05814  0.00851592
         504     -4.9762    -5.05797  0.00850058
         505    -4.96299    -5.05779  0.00848582
         506     -4.9511    -5.05758  0.00847167
         507    -4.94225    -5.05735  0.00845802
         508    -4.93602    -5.05711  0.00844474
         509    -4.93369    -5.05687  0.00843163
         510    -4.93423    -5.05663  0.00841852
         511    -4.93732    -5.05639  0.00840529
         512       -4.94    -5.05617  0.00839194
         513    -4.94085    -5.05594  0.00837859
         514    -4.93812    -5.05571  0.00836543
         515    -4.93232    -5.05547  0.00835262
         516    -4.92486    -5.05522  0.00834026
         517    -4.91849    -5.05495  0.00832832
         518    -4.91591    -5.05469  0.00831657
         519    -4.91946    -5.05443  0.00830463
         520    -4.93074    -5.05419  0.00829206
         521    -4.95184    -5.05399  0.00827847
         522    -4.97926    -5.05385  0.00826385
         523     -5.0106    -5.05377  0.00824846
         524    -5.04321    -5.05375  0.00823275
         525    -5.07187    -5.05378  0.00821714
         526    -5.09091    -5.05385  0.00820182
         527    -5.09918    -5.05394  0.00818671
         528    -5.09635    -5.05402   0.0081716
         529    -5.08445    -5.05407  0.00815635
         530    -5.06495     -5.0541  0.00814099
         531    -5.03766    -5.05406  0.00812572
         532     -5.0096    -5.05398  0.00811087
         533    -4.98412    -5.05385  0.00809671
         534    -4.96425    -5.05368  0.00808329
         535    -4.95325    -5.05349  0.00807036
         536    -4.95301    -5.05331  0.00805748
         537    -4.96323    -5.05314  0.00804422
         538     -4.9839    -5.05301   0.0080303
         539    -5.01013    -5.05293  0.00801579
         540    -5.03798     -5.0529    0.008001
         541     -5.0614    -5.05292  0.00798622
         542    -5.07982    -5.05297  0.00797164
         543     -5.0891    -5.05303  0.00795724
         544    -5.08762     -5.0531  0.00794287
         545    -5.08121    -5.05315  0.00792846
         546    -5.07026    -5.05318    0.007914
         547    -5.05738    -5.05319  0.00789954
         548    -5.04808    -5.05318  0.00788513
         549    -5.04173    -5.05316  0.00787079
         550    -5.03675    -5.05313  0.00785654
         551    -5.03475     -5.0531  0.00784235
         552    -5.03452    -5.05306  0.00782822
         553     -5.0358    -5.05303  0.00781412
         554    -5.04097    -5.05301  0.00780005
         555    -5.04581      -5.053    0.007786
         556     -5.0533      -5.053    0.007772
         557    -5.05872    -5.05301  0.00775805
         558    -5.06464    -5.05303  0.00774418
         559    -5.06785    -5.05305  0.00773037
         560    -5.07152    -5.05309  0.00771664
         561    -5.07538    -5.05313  0.00770298
         562    -5.08119    -5.05318  0.00768944
         563    -5.08898    -5.05324  0.00767604
         564    -5.09461    -5.05331  0.00766278
         565    -5.10068     -5.0534  0.00764968
         566    -5.10691    -5.05349  0.00763675
         567    -5.11074    -5.05359  0.00762395
         568    -5.11062    -5.05369  0.00761119
         569    -5.10804    -5.05379  0.00759841
         570    -5.10238    -5.05387  0.00758556
         571    -5.09565    -5.05395  0.00757263
         572    -5.08949    -5.05401  0.00755964
         573    -5.08396    -5.05406  0.00754663
         574    -5.07999    -5.05411  0.00753362
         575    -5.07172    -5.05414  0.00752058
         576    -5.05892    -5.05415  0.00750753
         577    -5.04267    -5.05413  0.00749454
         578    -5.02296    -5.05407  0.00748177
         579    -5.00375    -5.05399  0.00746935
         580    -4.98802    -5.05387  0.00745734
         581    -4.97599    -5.05374  0.00744571
         582    -4.96612    -5.05359  0.00743444
         583    -4.96218    -5.05343  0.00742334
         584    -4.96328    -5.05328  0.00741223
         585    -4.96951    -5.05313  0.00740094
         586    -4.97914    -5.05301  0.00738939
         587    -4.98873     -5.0529  0.00737761
         588    -4.99829     -5.0528  0.00736565
         589    -5.00513    -5.05272  0.00735359
         590    -5.00729    -5.05265  0.00734153
         591    -5.00646    -5.05257  0.00732952
         592    -5.00314    -5.05248  0.00731762
         593    -4.99485    -5.05239  0.00730592
         594    -4.98606    -5.05228  0.00729448
         595    -4.97798    -5.05215  0.00728329
         596    -4.97092    -5.05201  0.00727234
         597    -4.96968    -5.05188  0.00726147
         598    -4.97688    -5.05175  0.00725041
         599    -4.99322    -5.05165  0.00723896
         600    -5.01712     -5.0516  0.00722713
         601    -5.04308    -5.05158  0.00721512
         602    -5.06669    -5.05161  0.00720317
         603    -5.08558    -5.05166  0.00719145
         604    -5.09425    -5.05173  0.00717989
         605    -5.09518    -5.05181  0.00716838
         606    -5.08902    -5.05187  0.00715681
         607    -5.07487     -5.0519  0.00714512
         608    -5.05594    -5.05191  0.00713337
         609     -5.0347    -5.05188  0.00712172
         610    -5.01305    -5.05182  0.00711033
         611    -4.99047    -5.05172   0.0070994
         612    -4.96875    -5.05158  0.00708909
         613    -4.94855    -5.05142  0.00707952
         614    -4.93025    -5.05122  0.00707074
         615    -4.91364    -5.05099  0.00706278
         616    -4.90178    -5.05075  0.00705547
         617    -4.89654     -5.0505  0.00704846
         618    -4.89997    -5.05026  0.00704126
         619    -4.91547    -5.05004  0.00703325
         620    -4.94116    -5.04986   0.0070241
         621    -4.97694    -5.04975  0.00701377
         622    -5.01581    -5.04969  0.00700271
         623    -5.05269     -5.0497  0.00699147
         624    -5.08201    -5.04975  0.00698046
         625    -5.10403    -5.04984  0.00696983
         626    -5.11555    -5.04994  0.00695948
         627    -5.12278    -5.05006  0.00694935
         628    -5.12825    -5.05018   0.0069394
         629    -5.13235    -5.05031   0.0069296
         630    -5.13398    -5.05045  0.00691987
         631    -5.13248    -5.05058  0.00691013
         632    -5.12654     -5.0507  0.00690024
         633    -5.11511     -5.0508  0.00689009
         634    -5.09675    -5.05087   0.0068796
         635    -5.07646    -5.05091  0.00686889
         636    -5.05863    -5.05092   0.0068581
         637    -5.04636    -5.05092  0.00684733
         638    -5.04468    -5.05091  0.00683661
         639    -5.05077    -5.05091  0.00682591
         640    -5.06113    -5.05092  0.00681526
         641    -5.07145    -5.05095  0.00680471
         642    -5.07766    -5.05099  0.00679423
         643    -5.08218    -5.05104  0.00678384
         644    -5.08387    -5.05109   0.0067735
         645    -5.08504    -5.05115   0.0067632
         646    -5.08721     -5.0512  0.00675296
         647    -5.08954    -5.05126  0.00674278
         648    -5.08533    -5.05131  0.00673258
         649    -5.07573    -5.05135  0.00672232
         650    -5.05765    -5.05136  0.00671198
         651    -5.03107    -5.05133  0.00670174
         652    -4.99878    -5.05125  0.00669195
