#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
          13      4.680523e-01      4.690944e-01      1.915035e-03
          14      4.785043e-01      4.697666e-01      1.892527e-03
          15      4.450261e-01      4.681172e-01      2.378880e-03
          16      4.687139e-01      4.681545e-01      2.230492e-03
          17      4.699960e-01      4.682628e-01      2.101915e-03
          18      4.686230e-01      4.682828e-01      1.985238e-03
          19      4.548451e-01      4.675756e-01      2.002773e-03
          20      4.901821e-01      4.687059e-01      2.198583e-03
           1      5.482351e-01      5.482351e-01      0.000000e+00
           2      5.042011e-01      5.262181e-01      1.556838e-02
           3      5.285272e-01      5.269878e-01      1.039793e-02
           4      5.425672e-01      5.308827e-01      8.496653e-03
           5      5.215593e-01      5.290180e-01      6.998943e-03
           6      5.241050e-01      5.281992e-01      5.880156e-03
           7      5.048571e-01      5.248646e-01      5.910485e-03
           8      4.928495e-01      5.208627e-01      6.384310e-03
           9      5.429714e-01      5.233192e-01      6.129352e-03
          10      5.160813e-01      5.225954e-01      5.558987e-03
          11      4.823658e-01      5.189382e-01      6.139918e-03
          12      5.162353e-01      5.187129e-01      5.632389e-03
          13      5.295258e-01      5.195447e-01      5.260184e-03
          14      5.480825e-01      5.215831e-01      5.264624e-03
          15      5.119275e-01      5.209394e-01      4.952846e-03
          16      4.896451e-01      5.189835e-01      5.014638e-03
          17      5.162214e-01      5.188210e-01      4.722291e-03
          18      5.546633e-01      5.208123e-01      4.861669e-03
          19      4.998562e-01      5.197093e-01      4.729249e-03
          20      5.330995e-01      5.203788e-01      4.539929e-03
           1      2.015380e-01      2.015380e-01      0.000000e+00
           2      2.753766e-01      2.384573e-01      2.610588e-02
           3      3.152839e-01      2.640662e-01      2.720489e-02
           4      2.057644e-01      2.494907e-01      2.399254e-02
           5      3.059228e-01      2.607771e-01      2.168681e-02
           6      2.180720e-01      2.536596e-01      1.920483e-02
           7      2.229510e-01      2.492727e-01      1.695493e-02
           8      2.573613e-01      2.502838e-01      1.486568e-02
           9      2.750043e-01      2.530305e-01      1.346531e-02
          10      3.334558e-01      2.610730e-01      1.432057e-02
          11      2.714318e-01      2.620147e-01      1.304963e-02
          12      2.992590e-01      2.651184e-01      1.232572e-02
          13      3.067237e-01      2.683188e-01      1.178576e-02
          14      2.441442e-01      2.665921e-01      1.106970e-02
          15      2.066979e-01      2.625991e-01      1.102838e-02
          16      2.495660e-01      2.617845e-01      1.036914e-02
          17      2.353413e-01      2.602291e-01      9.875174e-03
          18      2.604152e-01      2.602394e-01      9.326558e-03
          19      3.172083e-01      2.632378e-01      9.305180e-03
          20      2.747101e-01      2.638114e-01      8.857583e-03
