#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         307     -5.4401    -5.45035  0.00277351
         308    -5.46022    -5.45038  0.00276469
         309    -5.47227    -5.45045  0.00275665
         310    -5.47321    -5.45053  0.00274873
         311    -5.46158    -5.45056  0.00274012
         312    -5.44808    -5.45055  0.00273135
         313    -5.43882    -5.45052  0.00272288
         314    -5.43669    -5.45047  0.00271457
         315    -5.44544    -5.45046    0.002706
         316    -5.45276    -5.45046  0.00269744
         317    -5.44833    -5.45046  0.00268894
         318    -5.44099    -5.45043  0.00268065
         319    -5.44062     -5.4504  0.00267242
         320    -5.44265    -5.45037  0.00266418
         321    -5.43811    -5.45033  0.00265616
         322    -5.42603    -5.45026  0.00264898
         323    -5.42834    -5.45019  0.00264165
         324    -5.44391    -5.45017  0.00263357
         325    -5.46581    -5.45022   0.0026259
         326    -5.49118    -5.45035  0.00262085
         327    -5.50286    -5.45051  0.00261775
         328     -5.4965    -5.45065  0.00261353
         329    -5.47982    -5.45073  0.00260708
         330    -5.45311    -5.45074  0.00259919
         331    -5.43182    -5.45069  0.00259197
         332    -5.42046    -5.45059  0.00258576
         333    -5.42367    -5.45051  0.00257926
         334    -5.43533    -5.45047  0.00257194
         335    -5.44751    -5.45046  0.00256428
         336    -5.45448    -5.45047  0.00255667
         337     -5.4539    -5.45048  0.00254911
         338    -5.45256    -5.45049  0.00254157
         339    -5.45231    -5.45049  0.00253408
         340    -5.45337     -5.4505  0.00252664
         341    -5.45485    -5.45051  0.00251926
         342    -5.45814    -5.45054    0.002512
         343    -5.45614    -5.45055  0.00250473
         344    -5.45085    -5.45055  0.00249744
         345    -5.44728    -5.45054  0.00249022
         346    -5.45032    -5.45054  0.00248303
         347    -5.45529    -5.45056  0.00247591
         348    -5.45948    -5.45058  0.00246893
         349    -5.45459    -5.45059  0.00246188
         350    -5.45002    -5.45059  0.00245485
         351    -5.45381     -5.4506  0.00244787
         352    -5.45411    -5.45061  0.00244093
         353    -5.45379    -5.45062  0.00243404
         354    -5.45051    -5.45062  0.00242716
         355    -5.44947    -5.45062  0.00242033
         356    -5.45333    -5.45062  0.00241354
         357    -5.45907    -5.45065  0.00240689
         358    -5.45729    -5.45067  0.00240024
         359    -5.45179    -5.45067  0.00239356
         360    -5.44728    -5.45066  0.00238693
         361    -5.45151    -5.45066  0.00238032
         362    -5.45425    -5.45067  0.00237376
         363    -5.45424    -5.45068  0.00236724
         364     -5.4601    -5.45071  0.00236088
         365    -5.47317    -5.45077  0.00235522
         366    -5.48689    -5.45087  0.00235085
         367    -5.47446    -5.45093  0.00234532
         368    -5.43951     -5.4509  0.00233915
         369    -5.40461    -5.45078  0.00233617
         370    -5.38774    -5.45061  0.00233606
         371     -5.3884    -5.45044  0.00233578
         372    -5.40226    -5.45031  0.00233309
         373    -5.42323    -5.45024  0.00232796
         374    -5.45193    -5.45024  0.00232174
         375    -5.48161    -5.45032  0.00231706
         376    -5.49408    -5.45044  0.00231381
         377    -5.49321    -5.45055  0.00231046
         378    -5.48773    -5.45065  0.00230643
         379    -5.48297    -5.45074  0.00230192
         380    -5.46878    -5.45079  0.00229636
         381    -5.45155    -5.45079  0.00229033
         382    -5.43711    -5.45075  0.00228461
         383    -5.43202     -5.4507  0.00227917
         384     -5.4348    -5.45066  0.00227361
         385    -5.44224    -5.45064  0.00226781
         386    -5.45171    -5.45064  0.00226194
         387    -5.46075    -5.45067  0.00225625
         388    -5.46513    -5.45071  0.00225074
         389    -5.46105    -5.45073  0.00224511
         390    -5.45386    -5.45074  0.00223937
         391    -5.44917    -5.45074  0.00223364
         392    -5.45692    -5.45075    0.002228
         393    -5.46971     -5.4508  0.00222285
         394    -5.47609    -5.45086  0.00221814
         395    -5.47611    -5.45093  0.00221344
         396    -5.47202    -5.45098  0.00220849
         397    -5.46354    -5.45101  0.00220316
         398    -5.44829    -5.45101  0.00219763
         399    -5.43349    -5.45096  0.00219256
         400    -5.42481     -5.4509  0.00218806
         401      -5.425    -5.45083  0.00218355
         402    -5.43382    -5.45079  0.00217853
         403    -5.44769    -5.45078  0.00217314
         404    -5.46652    -5.45082  0.00216811
         405    -5.48427     -5.4509  0.00216433
         406    -5.49619    -5.45102  0.00216187
         407    -5.49413    -5.45112  0.00215915
         408    -5.48228     -5.4512  0.00215521
         409    -5.45956    -5.45122  0.00215004
         410    -5.43246    -5.45117  0.00214528
         411    -5.40349    -5.45106   0.0021432
         412    -5.38783     -5.4509  0.00214348
         413    -5.38359    -5.45074  0.00214448
         414    -5.39179     -5.4506  0.00214402
         415    -5.40637    -5.45049   0.0021415
         416    -5.42605    -5.45043  0.00213716
         417    -5.45062    -5.45043  0.00213203
         418      -5.473    -5.45049  0.00212762
         419    -5.48266    -5.45056  0.00212392
         420     -5.4781    -5.45063  0.00211988
         421    -5.47002    -5.45068  0.00211534
         422    -5.46788    -5.45072  0.00211072
         423    -5.47337    -5.45077  0.00210641
         424    -5.47842    -5.45083  0.00210245
         425    -5.47392    -5.45089  0.00209821
         426    -5.45854    -5.45091  0.00209336
         427    -5.44755     -5.4509  0.00208847
         428    -5.44357    -5.45088  0.00208366
         429      -5.438    -5.45085  0.00207902
         430    -5.43658    -5.45082  0.00207445
         431    -5.43816    -5.45079  0.00206985
         432    -5.44621    -5.45078  0.00206508
         433    -5.45671    -5.45079  0.00206036
         434    -5.46713    -5.45083  0.00205596
         435     -5.4769    -5.45089   0.0020521
         436    -5.48686    -5.45097  0.00204905
         437    -5.49621    -5.45108  0.00204698
         438    -5.49736    -5.45118  0.00204503
         439    -5.48927    -5.45127  0.00204221
         440    -5.46908    -5.45131  0.00203797
         441    -5.44269    -5.45129  0.00203344
         442     -5.4133     -5.4512  0.00203066
         443    -5.38666    -5.45106   0.0020313
         444    -5.38124     -5.4509   0.0020328
         445    -5.40743     -5.4508  0.00203058
         446    -5.45062     -5.4508  0.00202602
         447    -5.48686    -5.45088  0.00202309
         448     -5.4956    -5.45098  0.00202104
         449     -5.4829    -5.45105  0.00201779
         450    -5.45416    -5.45106  0.00201332
         451    -5.43184    -5.45102   0.0020093
         452    -5.41673    -5.45094  0.00200629
         453     -5.4158    -5.45086  0.00200336
         454    -5.42077     -5.4508  0.00200004
         455    -5.43042    -5.45075  0.00199615
         456    -5.45185    -5.45076  0.00199177
         457    -5.47066     -5.4508  0.00198789
         458    -5.47571    -5.45085   0.0019843
         459    -5.47434    -5.45091  0.00198063
         460    -5.46244    -5.45093  0.00197648
         461    -5.45382    -5.45094  0.00197221
         462    -5.44925    -5.45093  0.00196794
         463    -5.45305    -5.45094   0.0019637
         464    -5.45931    -5.45096  0.00195955
         465    -5.46714    -5.45099  0.00195564
         466    -5.47768    -5.45105  0.00195228
         467    -5.47963    -5.45111  0.00194906
         468    -5.47244    -5.45115  0.00194543
         469    -5.46157    -5.45118  0.00194141
         470    -5.45185    -5.45118  0.00193728
         471    -5.44784    -5.45117  0.00193318
