#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         225    0.826447     0.79897  0.00737331
         226    0.838498    0.799145  0.00734275
         227     0.84696    0.799355  0.00731343
         228    0.851174    0.799583  0.00728488
         229    0.854352    0.799822    0.007257
         230     0.85886    0.800078  0.00722998
         231    0.864382    0.800357  0.00720404
         232    0.869358    0.800654  0.00717912
         233    0.871426    0.800958  0.00715474
         234    0.866472    0.801238  0.00712964
         235    0.850683    0.801448   0.0071024
         236    0.825006    0.801548  0.00707301
         237    0.796227    0.801526   0.0070432
         238    0.772349    0.801403  0.00701467
         239    0.756727    0.801216  0.00698781
         240    0.746519    0.800988  0.00696241
         241     0.73709    0.800723  0.00693857
         242    0.728517    0.800425  0.00691631
         243    0.725332    0.800116  0.00689475
         244    0.728169    0.799821  0.00687279
         245    0.733928    0.799552     0.00685
         246    0.744887     0.79933  0.00682576
         247    0.767189      0.7992  0.00679936
         248    0.800428    0.799205  0.00677195
         249    0.833916    0.799344  0.00674619
         250    0.854703    0.799565  0.00672284
         251    0.855815    0.799789  0.00669979
         252    0.837443    0.799939  0.00667487
         253    0.806081    0.799963  0.00664853
         254    0.773777     0.79986  0.00662315
         255    0.754053     0.79968  0.00659961
         256    0.754564    0.799504  0.00657619
         257    0.773183    0.799402   0.0065514
         258     0.80055    0.799406    0.006526
         259    0.825305    0.799506  0.00650157
         260    0.838184    0.799655  0.00647827
         261    0.834865     0.79979  0.00645485
         262    0.818002    0.799859  0.00643059
         263    0.796287    0.799846  0.00640615
         264    0.780293    0.799772  0.00638232
         265    0.776562    0.799684  0.00635883
         266    0.784558    0.799627  0.00633518
         267    0.799987    0.799629  0.00631145
         268    0.818783      0.7997  0.00628831
         269    0.837465    0.799841   0.0062665
         270    0.853376    0.800039  0.00624643
         271    0.866234    0.800283  0.00622815
         272    0.877835    0.800568  0.00621177
         273    0.889408    0.800894  0.00619754
         274    0.899583    0.801254  0.00618538
         275    0.903537    0.801626  0.00617406
         276    0.892933    0.801957  0.00616055
         277    0.860458    0.802168  0.00614192
         278    0.807473    0.802187  0.00611986
         279    0.746246    0.801986  0.00610121
         280    0.695689    0.801607  0.00609122
         281    0.672749    0.801148  0.00608678
         282    0.681823    0.800725  0.00607988
         283    0.713626    0.800417  0.00606619
         284    0.753914    0.800253  0.00604704
         285    0.790285    0.800218  0.00602592
         286      0.8142    0.800267  0.00600505
         287    0.821774    0.800342  0.00598459
         288    0.814211     0.80039  0.00596401
         289    0.797173    0.800379  0.00594338
         290    0.778979    0.800306  0.00592334
         291    0.767406    0.800192  0.00590407
         292    0.766218    0.800076  0.00588499
         293    0.773312    0.799985  0.00586562
         294    0.782307    0.799925  0.00584597
         295    0.787252    0.799882  0.00582631
         296    0.786881    0.799838   0.0058068
         297    0.785469    0.799789  0.00578745
         298    0.789694    0.799756  0.00576813
         299    0.803515    0.799768  0.00574885
         300    0.824735    0.799851  0.00573029
         301    0.845959    0.800004   0.0057133
         302    0.859723    0.800202   0.0056978
         303    0.862315    0.800407  0.00568268
         304    0.853591    0.800582  0.00566668
         305     0.83606    0.800698  0.00564929
         306     0.81509    0.800746  0.00563103
         307    0.798259    0.800737  0.00561269
         308    0.792194     0.80071  0.00559454
         309    0.798359    0.800702  0.00557644
         310    0.812051    0.800739  0.00555857
         311    0.825741    0.800819  0.00554128
         312    0.832992    0.800922  0.00552448
         313    0.830988    0.801018  0.00550766
         314    0.822469    0.801087  0.00549054
         315    0.814653     0.80113  0.00547328
         316    0.812439    0.801165  0.00545608
         317    0.813119    0.801203    0.005439
         318    0.810721    0.801233  0.00542198
         319    0.803216    0.801239  0.00540498
         320    0.792802    0.801213  0.00538816
         321    0.781239    0.801151  0.00537173
         322    0.767354    0.801046  0.00535607
         323    0.749947    0.800888  0.00534183
         324    0.732747    0.800677  0.00532948
         325    0.724547    0.800443  0.00531823
         326    0.732872    0.800236  0.00530595
         327    0.757562    0.800105  0.00529133
         328    0.790376    0.800076  0.00527528
         329    0.819653    0.800135  0.00525958
