#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         211     1.12382     1.19989   0.0117745
         212     1.15027     1.19966   0.0117213
         213     1.17284     1.19953   0.0116669
         214     1.18688     1.19947   0.0116125
         215     1.18821     1.19942   0.0115586
         216     1.17568     1.19931   0.0115057
         217     1.15449      1.1991   0.0114545
         218     1.13637     1.19881   0.0114056
         219     1.13287     1.19851   0.0113575
         220     1.14634     1.19828   0.0113083
         221     1.16917     1.19814   0.0112579
         222     1.19154     1.19811   0.0112072
         223     1.20848     1.19816   0.0111571
         224     1.22273     1.19827   0.0111078
         225     1.23967     1.19845     0.01106
         226     1.25775     1.19872   0.0110141
         227     1.27044     1.19903   0.0109701
         228     1.27676     1.19937   0.0109273
         229     1.28153     1.19973   0.0108855
         230     1.28829     1.20012    0.010845
         231     1.29657     1.20054   0.0108061
         232     1.30404     1.20098   0.0107687
         233     1.30714     1.20144   0.0107321
         234     1.29971     1.20186   0.0106945
         235     1.27602     1.20217   0.0106536
         236     1.23751     1.20232   0.0106095
         237     1.19434     1.20229   0.0105648
         238     1.15852      1.2021    0.010522
         239     1.13509     1.20182   0.0104817
         240     1.11978     1.20148   0.0104436
         241     1.10564     1.20108   0.0104079
         242     1.09278     1.20064   0.0103745
         243       1.088     1.20017   0.0103421
         244     1.09225     1.19973   0.0103092
         245     1.10089     1.19933    0.010275
         246     1.11733     1.19899   0.0102386
         247     1.15078      1.1988    0.010199
         248     1.20064     1.19881   0.0101579
         249     1.25087     1.19902   0.0101193
         250     1.28205     1.19935   0.0100843
         251     1.28372     1.19968   0.0100497
         252     1.25616     1.19991   0.0100123
         253     1.20912     1.19994  0.00997279
         254     1.16067     1.19979  0.00993473
         255     1.13108     1.19952  0.00989942
         256     1.13185     1.19926  0.00986428
         257     1.15977      1.1991  0.00982709
         258     1.20082     1.19911  0.00978901
         259     1.23796     1.19926  0.00975236
         260     1.25728     1.19948   0.0097174
         261      1.2523     1.19968  0.00968228
         262       1.227     1.19979  0.00964588
         263     1.19443     1.19977  0.00960923
         264     1.17044     1.19966  0.00957347
         265     1.16484     1.19953  0.00953825
         266     1.17684     1.19944  0.00950277
         267     1.19998     1.19944  0.00946718
         268     1.22818     1.19955  0.00943246
         269      1.2562     1.19976  0.00939975
         270     1.28006     1.20006  0.00936964
         271     1.29935     1.20042  0.00934222
         272     1.31675     1.20085  0.00931766
         273     1.33411     1.20134  0.00929631
         274     1.34937     1.20188  0.00927807
         275     1.35531     1.20244  0.00926109
         276      1.3394     1.20293  0.00924082
         277     1.29069     1.20325  0.00921289
         278     1.21121     1.20328  0.00917979
         279     1.11937     1.20298  0.00915181
         280     1.04353     1.20241  0.00913683
         281     1.00912     1.20172  0.00913017
         282     1.02273     1.20109  0.00911983
         283     1.07044     1.20063  0.00909928
         284     1.13087     1.20038  0.00907055
         285     1.18543     1.20033  0.00903888
         286      1.2213      1.2004  0.00900757
         287     1.23266     1.20051  0.00897689
         288     1.22132     1.20059  0.00894601
         289     1.19576     1.20057  0.00891507
         290     1.16847     1.20046  0.00888501
         291     1.15111     1.20029   0.0088561
         292     1.14933     1.20011  0.00882749
         293     1.15997     1.19998  0.00879843
         294     1.17346     1.19989  0.00876896
         295     1.18088     1.19982  0.00873947
         296     1.18032     1.19976   0.0087102
         297      1.1782     1.19968  0.00868117
         298     1.18454     1.19963  0.00865219
         299     1.20527     1.19965  0.00862327
         300      1.2371     1.19978  0.00859543
         301     1.26894     1.20001  0.00856995
         302     1.28959      1.2003   0.0085467
         303     1.29347     1.20061  0.00852402
         304     1.28039     1.20087  0.00850002
         305     1.25409     1.20105  0.00847394
         306     1.22264     1.20112  0.00844654
         307     1.19739     1.20111  0.00841904
         308     1.18829     1.20106  0.00839181
         309     1.19754     1.20105  0.00836466
         310     1.21808     1.20111  0.00833785
         311     1.23861     1.20123  0.00831192
         312     1.24949     1.20138  0.00828672
         313     1.24648     1.20153  0.00826149
         314      1.2337     1.20163  0.00823582
         315     1.22198     1.20169  0.00820993
         316     1.21866     1.20175  0.00818412
         317     1.21968      1.2018   0.0081585
         318     1.21608     1.20185  0.00813297
         319     1.20482     1.20186  0.00810748
         320      1.1892     1.20182  0.00808224
         321     1.17186     1.20173   0.0080576
         322     1.15103     1.20157  0.00803411
         323     1.12492     1.20133  0.00801274
         324     1.09912     1.20102  0.00799422
         325     1.08682     1.20066  0.00797734
         326     1.09931     1.20035  0.00795893
         327     1.13634     1.20016  0.00793699
         328     1.18556     1.20011  0.00791292
         329     1.22948      1.2002  0.00788937
         330      1.2534     1.20036  0.00786711
         331     1.25137     1.20052  0.00784485
         332     1.22834      1.2006  0.00782167
         333     1.19717     1.20059  0.00779819
         334     1.17132      1.2005  0.00777533
         335     1.15833     1.20038  0.00775314
         336     1.15776     1.20025  0.00773111
         337     1.16379     1.20014  0.00770892
         338     1.17045     1.20005  0.00768662
         339     1.17566     1.19998  0.00766428
         340     1.18113     1.19993  0.00764194
         341     1.18899      1.1999  0.00761959
         342     1.19911     1.19989  0.00759731
         343     1.20904     1.19992  0.00757521
         344     1.21585     1.19997  0.00755333
         345     1.21809     1.20002  0.00753162
         346     1.21731     1.20007  0.00751002
         347      1.2167     1.20012  0.00748853
         348     1.21798     1.20017  0.00746719
         349     1.21997     1.20022  0.00744601
         350     1.22016     1.20028  0.00742495
         351     1.21787     1.20033  0.00740397
         352     1.21559     1.20037  0.00738306
         353     1.21495     1.20042  0.00736226
         354      1.2128     1.20045  0.00734154
         355     1.20678     1.20047  0.00732089
         356     1.20155     1.20047  0.00730032
         357     1.20373     1.20048  0.00727988
         358      1.2126     1.20052  0.00725962
         359     1.21994     1.20057   0.0072396
         360     1.22013     1.20062   0.0072197
         361     1.21633     1.20067  0.00719983
         362      1.2149     1.20071  0.00718005
         363     1.21679     1.20075   0.0071604
         364     1.21893      1.2008  0.00714091
         365     1.22638     1.20087  0.00712169
         366     1.24983       1.201  0.00710348
         367     1.28261     1.20123  0.00708761
         368      1.3002      1.2015  0.00707345
         369     1.28467     1.20172  0.00705787
         370     1.23732     1.20182  0.00703945
         371     1.17389     1.20174  0.00702088
         372     1.11204      1.2015  0.00700614
         373     1.06363     1.20113   0.0069971
         374     1.03765     1.20069  0.00699203
         375      1.0405     1.20027  0.00698643
         376     1.06882     1.19992  0.00697659
         377     1.10944     1.19968  0.00696221
         378     1.15004     1.19955  0.00694503
         379     1.18619     1.19951  0.00692679
         380     1.21594     1.19955   0.0069087
         381     1.23369     1.19964  0.00689115
         382     1.23433     1.19973  0.00687371
         383     1.21983     1.19979  0.00685596
         384     1.19932     1.19979   0.0068381
         385     1.18316     1.19974  0.00682048
         386     1.17657     1.19968  0.00680307
         387     1.17884     1.19963  0.00678571
         388     1.18701      1.1996   0.0067683
         389     1.19747     1.19959   0.0067509
         390     1.20434      1.1996   0.0067336
         391     1.20298     1.19961  0.00671639
         392      1.1978     1.19961  0.00669925
         393     1.20039     1.19961  0.00668221
         394     1.21591     1.19965  0.00666538
         395      1.2383     1.19975  0.00664922
         396     1.25925      1.1999  0.00663413
         397     1.27337     1.20008     0.00662
         398     1.27665     1.20028  0.00660616
         399     1.26674     1.20044   0.0065917
         400     1.24528     1.20055  0.00657617
         401     1.21786      1.2006  0.00655992
         402      1.1916     1.20058  0.00654364
         403     1.17322     1.20051  0.00652775
         404     1.16869     1.20043  0.00651207
         405     1.18273     1.20038  0.00649614
         406     1.21536     1.20042  0.00648024
         407     1.25881     1.20057  0.00646591
         408     1.30018     1.20081  0.00645467
         409      1.3273     1.20112  0.00644629
         410     1.33145     1.20144   0.0064384
         411     1.30829      1.2017  0.00642798
         412     1.26002     1.20184  0.00641394
         413     1.19623     1.20182  0.00639842
         414      1.1301     1.20165  0.00638531
         415     1.07242     1.20134  0.00637752
         416     1.02988     1.20093  0.00637549
         417     1.00763     1.20046  0.00637703
         418     1.00957     1.20001  0.00637811
         419     1.03341     1.19961  0.00637526
         420     1.06719     1.19929  0.00636788
         421     1.09685     1.19905   0.0063574
         422     1.11805     1.19886  0.00634523
         423     1.13701     1.19871  0.00633192
         424     1.16004     1.19862  0.00631764
         425     1.18491     1.19859  0.00630286
         426     1.20326      1.1986  0.00628807
         427     1.20928     1.19863  0.00627339
         428     1.20444     1.19864  0.00625875
         429     1.19424     1.19863  0.00624417
         430     1.18241     1.19859  0.00622976
         431     1.17069     1.19853  0.00621565
         432     1.16251     1.19844  0.00620182
         433     1.16211     1.19836  0.00618806
         434     1.17083      1.1983  0.00617413
         435     1.18776     1.19827  0.00615998
         436     1.21344     1.19831  0.00614595
         437     1.24933     1.19842    0.006133
         438     1.29309     1.19864   0.0061228
         439     1.33636     1.19895  0.00611689
         440      1.3684     1.19934   0.0061151
         441      1.3805     1.19975  0.00611501
         442     1.36648     1.20013   0.0061128
         443     1.32313      1.2004   0.0061053
         444     1.25593     1.20053  0.00609283
         445       1.186      1.2005  0.00607923
