#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         293     9.81891     9.67742    0.039312
         294     9.78818     9.67779   0.0391801
         295     9.78677     9.67816   0.0390491
         296     9.78321     9.67852   0.0389188
         297     9.73251      9.6787   0.0387881
         298     9.60586     9.67845   0.0386587
         299     9.43639     9.67764   0.0385379
         300     9.27973     9.67632   0.0384323
         301      9.1801     9.67467   0.0383399
         302     9.17351     9.67301   0.0382489
         303     9.24754     9.67161   0.0381484
         304     9.38318     9.67066   0.0380347
         305     9.54047     9.67023   0.0379124
         306     9.65655     9.67019   0.0377886
         307     9.69497     9.67027   0.0376655
         308     9.63548     9.67015   0.0375434
         309      9.5295      9.6697   0.0374247
         310      9.4298     9.66892    0.037312
         311     9.38691     9.66802    0.037203
         312     9.40591     9.66718   0.0370933
         313     9.46825     9.66654   0.0369802
         314     9.52905      9.6661    0.036865
         315     9.54129     9.66571   0.0367501
         316     9.53321     9.66529   0.0366362
         317     9.56023     9.66496   0.0365221
         318      9.6249     9.66483   0.0364075
         319     9.70003     9.66494   0.0362935
         320     9.78232     9.66531    0.036182
         321     9.89195     9.66601   0.0360761
         322     10.0379     9.66717   0.0359826
         323     10.1563     9.66868    0.035903
         324        10.2     9.67032   0.0358297
         325     10.1304     9.67174   0.0357474
         326     9.93895     9.67256   0.0356471
         327     9.70338     9.67265   0.0355382
         328     9.50684     9.67215   0.0354335
         329     9.40493     9.67133   0.0353351
         330     9.43786     9.67063   0.0352351
         331     9.56492     9.67031   0.0351301
         332     9.72768     9.67048   0.0350247
         333     9.85384     9.67103   0.0349238
         334     9.91198     9.67175   0.0348267
         335     9.90847     9.67246   0.0347299
         336     9.87429     9.67306   0.0346318
         337     9.84215     9.67356   0.0345326
         338     9.81365     9.67398   0.0344329
         339     9.78397      9.6743   0.0343329
         340     9.74479     9.67451   0.0342325
         341     9.69586     9.67457   0.0341322
         342     9.64157     9.67447   0.0340326
         343     9.60947     9.67428   0.0339339
         344     9.60275     9.67408   0.0338359
         345     9.60677     9.67388   0.0337383
         346      9.5979     9.67366   0.0336415
         347     9.57621     9.67338   0.0335458
         348     9.54931     9.67302   0.0334513
         349      9.5457     9.67266   0.0333574
         350     9.55272     9.67232   0.0332639
         351     9.54837     9.67196    0.033171
         352     9.55035     9.67162   0.0330785
         353      9.5594      9.6713   0.0329863
         354     9.59129     9.67107   0.0328939
         355     9.62271     9.67094   0.0328016
         356     9.61987     9.67079   0.0327097
         357      9.5805     9.67054   0.0326191
         358     9.55057     9.67021   0.0325297
         359     9.55147     9.66988   0.0324408
         360     9.57302     9.66961   0.0323518
         361     9.57559     9.66935   0.0322632
         362     9.56862     9.66907   0.0321753
         363     9.56094     9.66877    0.032088
         364     9.52205     9.66837   0.0320024
         365     9.40807     9.66765   0.0319227
         366     9.23967     9.66648   0.0318569
         367     9.16363     9.66511   0.0317995
         368     9.26484     9.66403   0.0317317
         369     9.51897     9.66363   0.0316481
         370     9.83791      9.6641   0.0315661
         371     10.1433      9.6654   0.0315074
         372     10.3776     9.66731   0.0314808
         373     10.5032     9.66955   0.0314761
         374     10.4806     9.67172   0.0314665
         375     10.3228     9.67346   0.0314305
         376     10.1155     9.67463   0.0313689
         377     9.91038     9.67526   0.0312919
         378      9.7255     9.67539   0.0312094
         379     9.56726     9.67511   0.0311284
         380     9.48193      9.6746   0.0310506
         381     9.48042     9.67409   0.0309733
         382     9.55014     9.67376   0.0308939
         383     9.64375     9.67368   0.0308133
         384     9.71746      9.6738   0.0307333
         385     9.74611     9.67399   0.0306541
         386        9.73     9.67413    0.030575
         387     9.68498     9.67416    0.030496
         388     9.63518     9.67406   0.0304176
         389     9.61102      9.6739   0.0303398
         390     9.62243     9.67376   0.0302623
         391     9.64895      9.6737    0.030185
         392     9.62613     9.67358   0.0301082
         393     9.53862     9.67324   0.0300335
         394     9.42552     9.67261   0.0299639
         395     9.32328     9.67172   0.0299011
         396      9.2573     9.67068   0.0298439
         397     9.24948     9.66962   0.0297876
         398     9.31746     9.66873   0.0297259
         399     9.44202     9.66816   0.0296568
         400     9.58872     9.66796   0.0295833
         401     9.71879     9.66809   0.0295098
         402     9.79962     9.66842   0.0294382
         403     9.80988     9.66877   0.0293673
         404     9.72655     9.66891   0.0292949
         405     9.55676     9.66864   0.0292239
         406     9.33666     9.66782   0.0291634
         407     9.13794     9.66652   0.0291207
         408     9.01135     9.66491   0.0290936
         409     9.00688      9.6633   0.0290669
         410     9.13803     9.66202   0.0290243
         411     9.39884     9.66138   0.0289607
         412     9.72149     9.66153   0.0288908
         413     10.0519     9.66247   0.0288363
         414     10.3308     9.66409   0.0288118
         415     10.5304     9.66617   0.0288179
         416     10.6249     9.66848   0.0288406
         417      10.595      9.6707   0.0288569
         418     10.4583     9.67258   0.0288493
         419       10.28     9.67403   0.0288169
         420      10.127     9.67511   0.0287684
         421     10.0137     9.67592   0.0287113
         422     9.91077     9.67647   0.0286487
         423     9.78918     9.67674   0.0285822
         424     9.66488     9.67671   0.0285148
         425     9.58502      9.6765   0.0284485
         426     9.58053     9.67627   0.0283827
         427        9.62     9.67614   0.0283165
         428     9.67647     9.67614   0.0282503
         429     9.74776     9.67631    0.028185
         430     9.80942     9.67662   0.0281211
         431     9.84974     9.67702   0.0280587
         432      9.8426      9.6774   0.0279964
         433     9.78637     9.67765   0.0279329
         434     9.68739     9.67767   0.0278685
         435     9.54689     9.67737   0.0278061
         436     9.35881     9.67664   0.0277519
         437     9.13216      9.6754   0.0277164
         438     8.91575     9.67366   0.0277073
         439     8.76066     9.67158   0.0277221
         440     8.71824     9.66942   0.0277437
         441     8.80731     9.66746   0.0277495
         442     9.03683     9.66603   0.0277234
         443     9.37815     9.66538   0.0276684
         444     9.71466      9.6655   0.0276064
         445      9.8987     9.66602   0.0275493
         446     9.87106     9.66648   0.0274914
         447     9.69344     9.66654   0.0274299
         448     9.50157     9.66617   0.0273712
         449     9.38999     9.66556   0.0273171
         450     9.41459       9.665   0.0272621
         451     9.53353     9.66471   0.0272032
         452     9.70775      9.6648   0.0271432
         453     9.87218     9.66526   0.0270871
         454     10.0038     9.66601   0.0270377
         455      10.073      9.6669   0.0269931
         456     10.0395     9.66772   0.0269463
         457     9.93297      9.6683   0.0268936
         458     9.81369     9.66862   0.0268367
         459     9.71872     9.66872   0.0267785
         460     9.69289     9.66878   0.0267203
         461     9.70957     9.66887   0.0266625
         462      9.7437     9.66903   0.0266053
         463      9.7588     9.66922   0.0265485
         464     9.75009      9.6694   0.0264919
         465     9.70182     9.66947    0.026435
         466     9.60356     9.66932   0.0263786
         467     9.50127     9.66896   0.0263246
         468     9.43325     9.66846   0.0262732
         469     9.41037     9.66791   0.0262229
         470     9.41889     9.66738   0.0261725
         471      9.4342     9.66689   0.0261216
         472     9.45985     9.66645   0.0260699
         473     9.52558     9.66615   0.0260165
         474     9.64651     9.66611   0.0259617
         475      9.8007     9.66639   0.0259086
         476     9.98212     9.66705   0.0258626
         477     10.1642      9.6681   0.0258294
