#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         257    -6.65636    -6.64886  0.00910609
         258    -6.69597    -6.64904  0.00907263
         259    -6.71607     -6.6493  0.00904129
         260    -6.71026    -6.64954  0.00900955
         261    -6.68187    -6.64966  0.00897588
         262    -6.64503    -6.64964  0.00894164
         263    -6.62204    -6.64954  0.00890826
         264    -6.61555    -6.64941  0.00887545
         265    -6.62893    -6.64933  0.00884229
         266    -6.65238    -6.64934  0.00880906
         267     -6.6818    -6.64947   0.0087769
         268    -6.70808    -6.64968  0.00874688
         269    -6.73448       -6.65  0.00872004
         270     -6.7525    -6.65038    0.008696
         271    -6.76873    -6.65082  0.00867487
         272    -6.78649    -6.65131  0.00865731
         273    -6.80056    -6.65186  0.00864284
         274    -6.80898    -6.65243   0.0086303
         275    -6.79272    -6.65294  0.00861398
         276      -6.746    -6.65328  0.00858936
         277    -6.66645    -6.65333  0.00855849
         278    -6.57446    -6.65305   0.0085324
         279    -6.49981     -6.6525  0.00851948
         280    -6.46398    -6.65182  0.00851561
         281    -6.47956    -6.65121  0.00850735
         282    -6.52663    -6.65077  0.00848864
         283    -6.58907    -6.65055  0.00846144
         284    -6.64428    -6.65053  0.00843168
         285    -6.67946    -6.65063  0.00840271
         286    -6.68838    -6.65076  0.00837436
         287    -6.67517    -6.65085  0.00834562
         288    -6.64905    -6.65084  0.00831664
         289    -6.61772    -6.65073  0.00828865
         290    -6.59836    -6.65055  0.00826204
         291    -6.59743    -6.65036  0.00823566
         292    -6.60941    -6.65022  0.00820865
         293    -6.62421    -6.65013  0.00818111
         294    -6.63111    -6.65007  0.00815354
         295    -6.63143    -6.65001  0.00812615
         296    -6.63027    -6.64994  0.00809897
         297    -6.63688     -6.6499  0.00807182
         298    -6.66013    -6.64993  0.00804481
         299    -6.69244    -6.65007  0.00801916
         300    -6.72374    -6.65032  0.00799619
         301    -6.74665    -6.65064  0.00797602
         302    -6.74922    -6.65096  0.00795629
         303     -6.7356    -6.65124  0.00793493
         304    -6.70852    -6.65143  0.00791107
         305      -6.675    -6.65151   0.0078855
         306    -6.64939     -6.6515  0.00785974
         307    -6.63749    -6.65146  0.00783427
         308    -6.64852    -6.65145  0.00780884
         309    -6.66981    -6.65151  0.00778379
         310    -6.69129    -6.65163  0.00775974
         311    -6.70019    -6.65179  0.00773636
         312    -6.69756    -6.65194  0.00771296
         313     -6.6853    -6.65204  0.00768905
         314    -6.67039     -6.6521  0.00766479
         315    -6.66742    -6.65215  0.00764061
         316    -6.67142    -6.65221  0.00761667
         317    -6.66801    -6.65226  0.00759281
         318    -6.65707    -6.65228  0.00756895
         319    -6.64544    -6.65226  0.00754525
         320    -6.63185    -6.65219  0.00752194
         321    -6.60997    -6.65206  0.00749966
         322    -6.57706    -6.65183  0.00747998
         323    -6.55326    -6.65152  0.00746305
         324    -6.54303    -6.65119  0.00744752
         325    -6.55263    -6.65088  0.00743078
         326    -6.59049     -6.6507  0.00741029
         327    -6.63921    -6.65066  0.00738771
         328    -6.68206    -6.65076  0.00736581
         329    -6.70929    -6.65094  0.00734557
         330    -6.70652    -6.65111  0.00732524
         331    -6.68319     -6.6512  0.00730375
         332     -6.6488     -6.6512  0.00728176
         333    -6.62084     -6.6511  0.00726046
         334    -6.60665    -6.65097  0.00723994
         335    -6.60584    -6.65084  0.00721958
         336    -6.61224    -6.65072  0.00719901
         337    -6.61769    -6.65062  0.00717831
         338    -6.62301    -6.65054  0.00715754
         339    -6.62797    -6.65048  0.00713674
         340     -6.6345    -6.65043   0.0071159
         341    -6.64384    -6.65041  0.00709506
         342    -6.65726    -6.65043  0.00707434
         343    -6.66518    -6.65047  0.00705385
         344     -6.6667    -6.65052   0.0070335
         345    -6.66537    -6.65056  0.00701325
         346    -6.66762    -6.65061  0.00699315
         347    -6.67199    -6.65067  0.00697327
         348    -6.67746    -6.65075  0.00695365
         349    -6.67455    -6.65082  0.00693406
         350    -6.67018    -6.65087  0.00691447
         351    -6.67167    -6.65093  0.00689503
         352     -6.6697    -6.65099  0.00687565
         353    -6.66874    -6.65104  0.00685635
         354     -6.6633    -6.65107  0.00683707
         355    -6.65625    -6.65109  0.00681783
         356    -6.65488     -6.6511  0.00679869
         357    -6.66279    -6.65113  0.00677972
         358    -6.66989    -6.65118  0.00676098
         359    -6.67173    -6.65124  0.00674239
         360    -6.66741    -6.65128  0.00672381
         361    -6.66783    -6.65133  0.00670535
         362    -6.66915    -6.65138    0.006687
         363    -6.67103    -6.65143   0.0066688
         364    -6.67903    -6.65151  0.00665091
         365    -6.69955    -6.65164  0.00663399
         366    -6.73672    -6.65187  0.00661994
         367    -6.75707    -6.65216   0.0066081
         368     -6.7397     -6.6524  0.00659443
         369    -6.68929     -6.6525  0.00657731
         370    -6.62506    -6.65242  0.00655995
         371    -6.56229    -6.65218  0.00654677
         372    -6.51431    -6.65181  0.00653965
         373    -6.48686    -6.65137  0.00653705
         374    -6.48958    -6.65093  0.00653387
         375    -6.52211    -6.65059  0.00652547
         376     -6.5629    -6.65036  0.00651229
         377    -6.60265    -6.65023  0.00649624
         378    -6.63777     -6.6502  0.00647914
         379    -6.66916    -6.65025  0.00646224
         380    -6.68472    -6.65034  0.00644587
         381    -6.68524    -6.65043   0.0064296
         382    -6.67144    -6.65049    0.006413
         383    -6.65185    -6.65049  0.00639626
         384    -6.63412    -6.65045  0.00637975
         385     -6.6254    -6.65038  0.00636351
         386    -6.62828    -6.65032  0.00634728
         387    -6.63959     -6.6503  0.00633094
         388    -6.65213     -6.6503  0.00631462
         389    -6.65851    -6.65032  0.00629843
         390    -6.65821    -6.65034  0.00628231
         391    -6.65215    -6.65035  0.00626624
         392    -6.65472    -6.65036  0.00625027
         393     -6.6701    -6.65041  0.00623456
         394      -6.692    -6.65051  0.00621963
         395    -6.71441    -6.65068  0.00620599
         396    -6.73127    -6.65088  0.00619366
         397    -6.73692     -6.6511  0.00618185
         398    -6.72494    -6.65128   0.0061691
         399    -6.70023     -6.6514  0.00615485
         400     -6.6701    -6.65145  0.00613965
         401    -6.64286    -6.65143  0.00612437
         402    -6.62542    -6.65137  0.00610948
         403    -6.62091    -6.65129  0.00609479
         404    -6.63521    -6.65125  0.00607983
         405      -6.667    -6.65129  0.00606494
         406    -6.71155    -6.65144  0.00605182
         407    -6.75294    -6.65169  0.00604209
         408    -6.78247    -6.65201  0.00603577
         409    -6.78685    -6.65234  0.00603002
         410    -6.76391    -6.65261  0.00602145
         411    -6.71179    -6.65275  0.00600852
         412    -6.64786    -6.65274  0.00599394
         413    -6.57983    -6.65256  0.00598203
         414    -6.52189    -6.65225   0.0059759
         415    -6.47879    -6.65183   0.0059761
         416    -6.45593    -6.65136  0.00598026
         417    -6.45825     -6.6509  0.00598383
         418    -6.48257    -6.65049  0.00598304
         419    -6.51607    -6.65017  0.00597736
         420    -6.54529    -6.64992  0.00596834
         421    -6.56687    -6.64973  0.00595743
         422    -6.58592    -6.64958  0.00594523
         423    -6.61038    -6.64948  0.00593189
         424    -6.63846    -6.64946  0.00591796
         425    -6.65883    -6.64948  0.00590408
         426    -6.66179    -6.64951  0.00589029
         427    -6.65683    -6.64952  0.00587652
         428    -6.64801    -6.64952  0.00586279
         429    -6.63224    -6.64948  0.00584926
         430    -6.61899    -6.64941  0.00583609
         431    -6.60885    -6.64932  0.00582331
         432    -6.60872    -6.64922  0.00581059
         433    -6.61882    -6.64915  0.00579759
         434    -6.63796    -6.64913  0.00578429
         435    -6.66466    -6.64916   0.0057711
         436     -6.7003    -6.64928  0.00575906
         437    -6.74554     -6.6495  0.00575009
         438    -6.79045    -6.64982  0.00574596
         439    -6.82563    -6.65022  0.00574681
         440    -6.83749    -6.65065  0.00574949
         441    -6.82318    -6.65104  0.00574975
         442    -6.77978    -6.65133  0.00574411
         443    -6.70979    -6.65146  0.00573266
         444    -6.63717    -6.65143  0.00571984
         445    -6.59343     -6.6513  0.00570847
         446     -6.5939    -6.65117  0.00569712
         447     -6.6302    -6.65112  0.00568457
         448    -6.67172    -6.65117  0.00567207
         449    -6.70009    -6.65128  0.00566048
         450    -6.69787    -6.65138  0.00564885
         451    -6.67688    -6.65144  0.00563661
         452    -6.64088    -6.65142  0.00562418
         453    -6.60716    -6.65132  0.00561262
         454    -6.57777    -6.65116  0.00560259
         455    -6.55898    -6.65095  0.00559394
         456    -6.56424    -6.65076   0.0055849
         457    -6.58434    -6.65062  0.00557457
         458    -6.60683    -6.65052  0.00556322
         459    -6.62911    -6.65048   0.0055513
         460    -6.63561    -6.65044  0.00553932
         461    -6.63463    -6.65041  0.00552741
         462     -6.6289    -6.65036  0.00551565
         463    -6.62918    -6.65032  0.00550392
         464    -6.63449    -6.65028  0.00549217
         465    -6.64631    -6.65027  0.00548036
         466    -6.66914    -6.65031  0.00546875
         467    -6.69182     -6.6504  0.00545776
         468    -6.70678    -6.65052  0.00544743
         469    -6.71114    -6.65065  0.00543735
         470    -6.70712    -6.65077  0.00542711
         471    -6.70273    -6.65088   0.0054167
         472    -6.69901    -6.65098  0.00540619
         473    -6.68778    -6.65106  0.00539532
         474    -6.66411    -6.65109  0.00538401
         475     -6.6356    -6.65106  0.00537277
         476    -6.60013    -6.65095  0.00536255
         477    -6.56239    -6.65076  0.00535452
         478    -6.52827    -6.65051  0.00534945
         479    -6.51077    -6.65022  0.00534623
         480    -6.52418    -6.64995  0.00534153
         481    -6.56001    -6.64977   0.0053337
         482    -6.60468    -6.64967  0.00532345
         483    -6.65471    -6.64968  0.00531244
         484    -6.70409     -6.6498  0.00530266
         485    -6.74455    -6.64999  0.00529532
         486    -6.76251    -6.65022  0.00528948
         487    -6.75405    -6.65044  0.00528292
         488    -6.72473    -6.65059  0.00527429
         489     -6.6786    -6.65065  0.00526381
         490    -6.63001     -6.6506  0.00525324
         491    -6.58597    -6.65047  0.00524419
         492    -6.55915    -6.65029  0.00523681
         493    -6.55224    -6.65009  0.00522996
         494    -6.55314    -6.64989  0.00522306
         495    -6.55515     -6.6497  0.00521601
         496    -6.55587    -6.64951  0.00520893
         497    -6.57244    -6.64936  0.00520075
         498    -6.60024    -6.64926  0.00519124
         499    -6.64058    -6.64924  0.00518087
         500    -6.68013     -6.6493  0.00517088
         501    -6.71249    -6.64943  0.00516209
         502    -6.72611    -6.64958  0.00515407
         503    -6.71615    -6.64971  0.00514552
         504    -6.68919    -6.64979  0.00513591
         505    -6.66639    -6.64982  0.00512584
         506    -6.65858    -6.64984  0.00511574
         507    -6.66363    -6.64987  0.00510573
         508     -6.6752    -6.64992  0.00509592
         509    -6.68746    -6.64999  0.00508644
         510    -6.70333     -6.6501  0.00507754
         511    -6.71116    -6.65022  0.00506901
         512    -6.70436    -6.65032  0.00506021
         513    -6.68039    -6.65038  0.00505069
         514    -6.64921    -6.65038  0.00504086
         515    -6.62577    -6.65033   0.0050313
         516    -6.62065    -6.65027  0.00502188
         517    -6.63668    -6.65025  0.00501224
         518    -6.65756    -6.65026  0.00500258
         519    -6.67838    -6.65032  0.00499323
         520    -6.68372    -6.65038  0.00498404
         521    -6.66701    -6.65041  0.00497458
         522    -6.64166    -6.65039  0.00496508
         523    -6.61854    -6.65033  0.00495596
         524    -6.61015    -6.65026  0.00494709
         525    -6.62346    -6.65021  0.00493793
         526    -6.65976    -6.65022  0.00492858
         527    -6.70262    -6.65032  0.00492023
         528     -6.7358    -6.65049  0.00491357
         529    -6.74295    -6.65066  0.00490739
         530    -6.72127    -6.65079  0.00489994
         531     -6.6873    -6.65086   0.0048912
         532    -6.64838    -6.65086  0.00488201
         533      -6.619     -6.6508  0.00487321
         534    -6.60222    -6.65071  0.00486494
         535    -6.59307     -6.6506  0.00485703
         536    -6.59179    -6.65049  0.00484921
         537    -6.59956    -6.65039  0.00484111
         538    -6.61702    -6.65033  0.00483251
         539    -6.64297    -6.65032  0.00482356
         540    -6.66369    -6.65034  0.00481469
         541    -6.67813     -6.6504  0.00480607
         542    -6.68835    -6.65047  0.00479771
         543    -6.69759    -6.65055  0.00478966
         544    -6.69894    -6.65064  0.00478168
         545    -6.69613    -6.65072  0.00477364
         546    -6.68717    -6.65079  0.00476536
         547    -6.68145    -6.65085  0.00475698
         548    -6.67771     -6.6509  0.00474855
         549    -6.67209    -6.65093  0.00474006
         550    -6.65919    -6.65095  0.00473146
         551    -6.63608    -6.65092  0.00472295
         552     -6.5934    -6.65082  0.00471555
         553    -6.54394    -6.65063  0.00471098
